plant_id_eia,boiler_id,prime_mover_code
61364,23523,
60903,0002,
60903,0001,
60786,HRSG1,
60768,CTG4,CT
60768,CTG3,CT
60768,2 B,CA
60768,2 A,CA
60693,006,
60693,005,
60693,004,
60693,003,
60693,002,
60693,001,
60550,B001,
60376,HRSG2,
60376,HRSG1,
60368,HRSG3,
60368,HRSG2,
60368,HRSG1,
60340,1,ST
60206,RR,
60205,TCHRSG,
60202,HRSG1,
60122,STG9,CA
60122,HRSG8,
60122,HRSG7,
60122,CT8,CT
60122,CT7,CT
60100,B-1,ST
60084,7040,ST
60084,7020A,ST
60084,1006,ST
60084,1005,ST
59925,HRSG1,
59812,HRSG5,CA
59812,HRSG4,CA
59812,CGT5,CT
59812,CGT4,CT
59784,CTG6,CT
59784,CTG5,CT
59784,3 B,CA
59784,3 A,CA
59773,HRSG-2,CA
59773,HRSG-1,CA
59773,CGT2,CT
59773,CGT1,CT
59764,HRSG12,CA
59764,HRSG11,CA
59764,CTG12,CT
59764,CTG11,CT
59658,BLR1,ST
59338,CTG2,CT
59338,CTG1,CT
59338,1 B,CA
59338,1 A,CA
59326,HRSG,
59325,HRSG,
59254,HRSG1,CA
59254,GENT4,CT
59254,GENT3,CT
59254,GENT2,CT
59254,GENT1,CT
59233,CT2,CS
59220,HRSG2,CA
59220,HRSG1,CA
59220,CT2,CT
59220,CT1,CT
59093,11,CT
59093,10,CT
59073,5L501B,
59073,5L501A,
59073,5B921B,
59073,5B921A,
59035,MKA1,ST
59012,HRSG,
59004,HRSG12,CA
59004,HRSG11,CA
59004,GEN2,CT
59004,GEN1,CT
58944,2771,ST
58707,B001,ST
58706,B001,ST
58697,CT2,CT
58697,CT1,CT
58697,01B,CA
58697,01A,CA
58613,2000,ST
58595,B1,ST
58574,01,ST
58560,BLR1,ST
58557,GT2,CT
58557,GT1,CT
58557,2,CA
58557,1,CA
58503,HRSG01,CA
58503,GEN1,CT
58478,CT,CT
58472,1,ST
58427,HRSG2,CA
58427,HRSG1,CA
58427,CTG2,CT
58427,CTG1,CT
58426,HRSG2,CS
58426,HRSG1,CS
58420,HRSG2,CS
58420,HRSG1,CS
58409,HRSG,
58352,B-11,ST
58310,B-1,
58260,HRSG1C,CA
58260,HRSG1B,CA
58260,HRSG1A,CA
58260,CT03,CT
58260,CT02,CT
58260,CT01,CT
58236,HRSG2,CA
58236,HRSG1,CA
58236,CTG2,CT
58236,CTG1,CT
58215,ST1,CA
58215,1C,CT
58215,1B,CT
58215,1A,CT
58207,HRSG8,CA
58207,HRSG7,CA
58207,G8,CT
58207,G7,CT
58205,1,ST
58200,BLR4,ST
58200,BLR3,ST
58200,BLR2,ST
58199,G1,CS
58198,HRSG1,CA
58198,GTG2,CT
58198,GTG1,CT
58194,WC8,ST
58194,WC6,ST
58194,WC2,ST
58194,WC1,ST
58161,GTG-8,CT
58161,GTG-7,CT
58159,HRSG3,CA
58159,HRSG2,CA
58159,HRSG1,CA
58159,CGT3,CT
58159,CGT2,CT
58159,CGT1,CT
58157,9,ST
58157,7,ST
58157,6,ST
58157,5,ST
58157,10,ST
58151,GTG01,CT
58151,B012,CA
58151,B001,CA
58124,1,ST
58109,REC2,ST
58109,REC1,ST
58109,PB5,ST
58109,PB3,ST
58108,3 RB,ST
58108,2 HFB,ST
58084,HRSG1,CA
58084,GT100,CT
58083,HRSG,CA
58083,GTG1,CT
58079,HRSG-2,CA
58079,HRSG-1,CA
58079,GT-2,CT
58079,GT-1,CT
58066,B4,ST
58066,B2,ST
58066,B1,ST
58054,ST01,ST
58023,1,ST
58007,HRSG4,CA
58007,HRSG3,CA
58007,HRSG2,CA
58007,HRSG1,CA
58007,G4,CT
58007,G3,CT
58007,G2,CT
58007,G1,CT
58005,HRSG2,CA
58005,HRSG1,CA
58005,CTG-2,CT
58005,CTG-1,CT
58001,HRSG4,CA
58001,HRSG3,CA
58001,HRSG2,CA
58001,HRSG1,CA
58001,CTG-4,CT
58001,CTG-3,CT
58001,CTG-2,CT
58001,CTG-1,CT
57978,ST1HRG,CA
57978,CT1,CT
57966,SG-203,ST
57966,SG-201,ST
57953,HRSG,CA
57953,GT,CT
57953,COGEN,ST
57919,9,ST
57919,6,
57919,4,
57919,3,
57919,2,
57919,11,ST
57919,10,ST
57915,8BLR,ST
57915,7BLR,ST
57915,6BLR,ST
57915,4BLR,ST
57915,3BLR,ST
57915,2BLR,ST
57915,1BLR,ST
57914,UI4,ST
57914,UI3,ST
57914,CE2,ST
57914,CE1,ST
57909,BLR1,ST
57908,HRSG2,CA
57908,HRSG1,CA
57908,CTG2,CT
57908,CTG1,CT
57901,7,CT
57901,5,CT
57901,20,CA
57901,10,CA
57898,BLR5,ST
57898,BLR4,ST
57898,BLR3,ST
57894,2,
57894,1,
57842,1HRSG,CA
57842,1,
57839,HRSG1B,CA
57839,HRSG1A,CA
57839,CT002,CT
57839,CT001,CT
57822,HRSG5,ST
57822,HRSG4,ST
57822,HRSG3,ST
57822,HRSG2,ST
57822,HRSG1,ST
57794,HRSG4,CA
57794,HRSG3,CA
57794,HRSG2,
57794,HRSG1,
57794,CT2,CT
57794,CT1,CT
57759,5PB,ST
57759,4RF,ST
57759,3PB,ST
57703,HRSG,CA
57703,01B,CT
57703,01A,CT
57684,1,ST
57666,CT2,CT
57666,CT1,CT
57664,HRSG4,CA
57664,HRSG3,CA
57664,CT4,CT
57664,CT3,CT
57653,CTG,CT
57584,ST1,CT
57584,SHRSG,CA
57584,NT2,CT
57584,NHRSG,CA
57564,HRSG1,CA
57564,EIHRSG,
57564,CTG,CT
57552,HRSG2,
57552,HRSG1,
57470,UA-P2,ST
57470,RF-P1,ST
57467,WE,ST
57467,TE,ST
57457,1,ST
57398,BOILER,
57394,SOLAR,
57349,HRSG1,CA
57349,CTG1,CT
57331,MSP2,
57331,MSP1,
57275,TSE-B2,
57275,TSE-B1,
57241,BLR1,ST
57209,3B,
57209,3A,
57185,U3HRSG,
57185,U2HRSG,
57185,U1HRSG,
57154,B1,
57138,HRSG2,ST
57138,HRSG1,ST
57122,CTG1,CT
57119,1111,ST
57103,2,ST
57099,7PB,ST
57099,4RB,ST
57075,BLR1,ST
57074,BLR1,ST
57073,BLR1,ST
57072,PB-1,ST
57046,CFB2,ST
57046,CFB1,ST
57037,B,CA
57037,A,CA
57037,1B,CT
57037,1A,CT
57036,OTSG3,CA
57036,OTSG2,CA
57036,OTSG1,CA
57036,HRSG1,CA
57036,3,CT
57036,2,CT
57036,1,CT
57028,GTG,CT
57028,1,CA
56998,7,CT
56998,6,CT
56998,52,CA
56998,51,CA
56998,5,CT
56998,42,CA
56998,41,CA
56998,4,CT
56963,H102,
56963,H101,
56940,HRSG2,
56940,HRSG1,
56848,HRSG9,ST
56848,HRSG8,ST
56848,HRSG7,ST
56848,HRSG6,ST
56848,HRSG10,ST
56847,Boil,ST
56846,HRSG2,CA
56846,HRSG1,CA
56846,GTG2,CT
56846,GTG1,CT
56812,1,
56808,2,ST
56808,1,ST
56807,1B,
56807,1A,
56806,CBYB42,CA
56806,CBYB41,CA
56806,42,CT
56806,41,CT
56799,HRSG2,
56799,HRSG1,
56798,U2,CT
56798,U1,CT
56798,HRSG2,CA
56798,HRSG1,CA
56786,1,ST
56781,3,ST
56708,H1201,ST
56708,H1101,ST
56707,SD200,ST
56706,SD200,ST
56675,MAIN,
56671,UHA01,ST
56643,7,ST
56616,4PB,ST
56611,S01,ST
56610,U1HRSG,CA
56610,02,CT
56609,1,ST
56596,1,ST
56565,HRSG2,CA
56565,HRSG1,CA
56565,6B,CT
56565,6A,CT
56564,1,ST
56532,HRSGB,CA
56532,HRSGA,CA
56532,B,CT
56532,A,CT
56476,HRSGB,CA
56476,HRSGA,CA
56476,B,CT
56476,A,CT
56469,FW-1,ST
56467,HRSG2,CA
56467,HRSG1,CA
56467,CTG2,CT
56467,CTG1,CT
56458,HRSG2,CA
56458,HRSG1,CA
56458,GT2,CT
56458,GT1,CT
56456,BLR1,ST
56407,PWC33,CA
56407,PWC32,CA
56407,PWC31,CA
56407,PWC23,CA
56407,PWC22,CA
56407,PWC21,CA
56407,PWC13,CA
56407,PWC12,CA
56407,PWC11,CA
56407,3C,CT
56407,3B,CT
56407,3A,CT
56407,2C,CT
56407,2B,CT
56407,2A,CT
56407,1C,CT
56407,1B,CT
56407,1A,CT
56406,BLR1,ST
56405,HI,ST
56400,HRSG1,CA
56400,CT1,CT
56356,CT1,CT
56350,HRSG4,CA
56350,HRSG3,CA
56350,HRSG2,CA
56350,HRSG1,CA
56350,CT2B,CT
56350,CT2A,CT
56350,CT1B,CT
56350,CT1A,CT
56349,HRSG4,CA
56349,HRSG3,CA
56349,HRSG2,CA
56349,HRSG1,CA
56349,CT2B,CT
56349,CT2A,CT
56349,CT1B,CT
56349,CT1A,CT
56349,2,CA
56349,1,CA
56319,1,ST
56309,HRSG2,
56309,HRSG1,
56309,CT-2,CS
56309,CT-1,CS
56298,HRSG2,CA
56298,HRSG1,CA
56298,0002,CT
56298,0001,CT
56259,HRSG12,CA
56259,HRSG11,CA
56259,CT12,CT
56259,CT11,CT
56237,HRSG22,CA
56237,HRSG21,CA
56237,HRSG02,CA
56237,HRSG01,CA
56237,CT22,CT
56237,CT21,CT
56237,CT02,CT
56237,CT01,CT
56234,HRSG01,CA
56234,CT01,CT
56233,HRSG B,CA
56233,HRSG A,CA
56233,CTG1,CT
56233,CT02,CT
56229,CT1,CS
56227,HRSG01,CA
56227,1,CT
56224,BLR100,ST
56196,CT02,CT
56196,CT01,CT
56196,7B,CA
56196,7A,CA
56192,RB,ST
56192,PB,ST
56192,FBB,ST
56188,CTG,CT
56188,001,CA
56177,GT1,CT
56177,26130,CA
56164,HRSG1,CA
56164,EU01,CT
56163,4,ST
56163,3,ST
56163,2,ST
56163,1,ST
56152,HRSG9,CA
56152,CTG1,CT
56150,C11B,CT
56150,C11A,CT
56150,C10B,CT
56150,C10A,CT
56150,11B,CA
56150,11A,CA
56150,10B,CA
56150,10A,CA
56119,HRSG2,CA
56119,HRSG1,CA
56119,200,CT
56119,100,CT
56107,HRSG2,
56107,HRSG,
56104,HRSG2,CA
56104,HRSG1,
56104,CTG2,CT
56102,HRSG1B,CA
56102,HRSG1A,CA
56102,CT1B,CT
56102,CT1A,CT
56079,South,ST
56079,North,ST
56078,301,CA
56078,2,CT
56078,1,CT
56068,19,ST
56068,18,ST
56047,HRSG2,
56047,HRSG1,
56046,HRSG2,CA
56046,1,CT
56041,M2,
56041,M1,
56031,HRSG2,CA
56031,HRSG1,CA
56031,CTG2,CT
56031,CTG1,CT
56026,HRSG2,CA
56026,HRSG1,CA
56026,CTG2,CT
56026,CTG1,CT
55990,HRSG5,CA
55990,HRSG4,CA
55990,HRSG3,CA
55990,HRSG2,CA
55990,HRSG1,CA
55990,5,CT
55990,4,CT
55990,3,CT
55990,2,CT
55990,1,CT
55985,HRSG2,CA
55985,HRSG1,CA
55985,CTG2,CT
55985,CTG1,CT
55977,CTG1,CT
55977,1,CA
55976,301,
55976,201,
55976,101,
55970,HRSGC,
55970,HRSGB,CA
55970,HRSGA,CA
55970,3,CT
55970,2,CT
55966,HRSG,CA
55966,GT1,CT
55965,CT7B,CT
55965,CT7A,CT
55965,CT6B,CT
55965,CT6A,CT
55965,7B,CA
55965,7A,CA
55965,6B,CA
55965,6A,CA
55939,CT03,
55939,CT02,
55939,CT01,
55933,TPP2,CT
55933,TPP1,CT
55933,4H0401,CA
55933,3H0301,CA
55927,HRSG3,CA
55927,HRSG2,CA
55927,HRSG1,CA
55927,CT3,CT
55927,CT2,CT
55927,CT1,CT
55882,BLR1,ST
55867,B1,ST
55856,PC2,ST
55856,PC1,ST
55853,2,CS
55853,1,CS
55841,CT2,CT
55841,CT1,CT
55841,A03,CA
55841,A01,CA
55835,HRSG 2,CA
55835,HRSG 1,CA
55835,CTG2,CT
55835,CTG1,CT
55830,EB3,
55830,EB2,
55830,EB1,
55821,B,CT
55821,A,CT
55821,26,CA
55821,25,CA
55818,HRSG-1,CA
55818,FICT,CT
55801,HRSG3,CA
55801,HRSG2,CA
55801,HRSG1,CA
55801,CTIB,CT
55801,CT1A,CT
55801,CT13,CT
55749,PC1,ST
55748,HRSG4,CA
55748,HRSG3,CA
55748,HRSG2,CA
55748,HRSG1,CA
55748,CTG4,CT
55748,CTG3,CT
55748,CTG2,CT
55748,CTG1,CT
55736,2HR2,CA
55736,2HR1,CA
55736,2GT2,CT
55736,2GT1,CT
55736,1HR2,CA
55736,1HR1,CA
55736,1GT2,CT
55736,1GT1,CT
55714,HRSG2,CA
55714,HRSG1,CA
55714,GT2,CT
55714,GT1,CT
55710,UNT4,CT
55710,UNT3,CT
55710,STB,CA
55708,BLR1,ST
55706,HRG301,CA
55706,HRG201,CA
55706,HRG101,CA
55706,CTG3,CT
55706,CTG2,CT
55706,CTG1,CT
55701,P002,CA
55701,P001,CA
55701,CT02,CT
55701,CT01,CT
55700,HRSG1,CA
55700,CTG1,CT
55694,HSG2,CA
55694,HSG1,CA
55694,CT2,CT
55694,CT1,CT
55690,HRSG7,CA
55690,HRSG6,CA
55690,HRSG5,CA
55690,HRSG3,CA
55690,HRSG2,CA
55690,HRSG1,CA
55690,CTG7,CT
55690,CTG6,CT
55690,CTG5,CT
55690,CTG3,CT
55690,CTG2,CT
55690,CTG1,CT
55687,HRSG2,CA
55687,HRSG1,CA
55687,A02,CT
55687,A01,CT
55667,HRSG 2,CA
55667,HRSG 1,CA
55667,G2,CT
55667,G1,CT
55664,HCCP 2,CA
55664,HCCP 1,CA
55664,GT-2,CT
55664,GT-1,CT
55662,ST1,CA
55662,CT2,CT
55662,CT1,CT
55661,HRSG2,CA
55661,HRSG1,CA
55661,GT-2,CT
55661,GT-1,CT
55656,HRSG04,CA
55656,HRSG02,CA
55656,HRSG01,CA
55656,CT04,CT
55656,CT02,CT
55656,CT01,CT
55641,HRSG2,CA
55641,HRSG1,CA
55641,CTG2,CT
55641,CTG1,CT
55620,CT-2,CT
55620,CT-1,CT
55620,1-2,CA
55620,1-1,CA
55598,2,CT
55598,1,CT
55596,HRSG 3,CA
55596,HRSG 2,CA
55596,HRSG 1,CA
55596,0005,CT
55596,0003,CT
55596,0002,CT
55596,0001,CT
55592,HRSG 3,
55592,HRSG 2,CA
55592,HRSG 1,CA
55592,2,CT
55592,1,CT
55558,GEN1,CT
55545,HRSG2,CA
55545,HRSG1,CA
55545,CTG2,CT
55545,CTG1,CT
55524,HRSG3,CA
55524,HRSG2,CA
55524,HRSG1,CA
55524,CTG3,CT
55524,CTG2,CT
55524,CTG1,CT
55518,CTG3,CT
55518,CTG2,CT
55518,CTG1,CT
55518,3,CA
55518,2,CA
55518,1,CA
55516,DB2,CA
55516,DB1,CA
55516,CTG2,CT
55516,CTG1,CT
55514,CTG2,CT
55514,CTG1,CT
55514,CTG02,CA
55514,CTG01,CA
55503,HRSG3,CA
55503,HRSG2,CA
55503,HRSG1,CA
55503,CTG3,CT
55503,CTG2,CT
55503,CTG1,CT
55502,2B,CA
55502,2A,CA
55502,2200,CT
55502,2100,CT
55502,1B,CA
55502,1A,CA
55502,1200,CT
55502,1100,CT
55501,HRSG4,CA
55501,HRSG3,CA
55501,HRSG2,CA
55501,HRSG1,CA
55501,CTG4,CT
55501,CTG3,CT
55501,CTG2,CT
55501,CTG1,CT
55486,HRSG2,
55486,HRSG1,
55482,HRSG1,CA
55482,G1,CT
55481,GT4,CT
55481,GT3,CT
55481,6,CA
55481,5,CA
55480,U6,CT
55480,U5,CT
55480,U4,CT
55480,U3,CT
55480,U2,CT
55480,U1,CT
55480,HRSG 6,CA
55480,HRSG 5,CA
55480,HRSG 4,CA
55480,HRSG 3,CA
55480,HRSG 2,CA
55480,HRSG 1,CA
55479,3,ST
55470,TR3,CT
55470,TR2,CT
55470,TR1,CT
55470,HRSG3,CA
55470,HRSG2,CA
55470,HRSG1,CA
55467,CTG3,CT
55467,CTG2,CT
55467,CTG1,CT
55467,3,CA
55467,2,CA
55467,1,CA
55464,HRSG6,CA
55464,HRSG4,CA
55464,HRSG3,CA
55464,HRSG2,CA
55464,HRSG1,CA
55464,CTG6,CT
55464,CTG4,CT
55464,CTG3,CT
55464,CTG2,CT
55464,CTG1,CT
55463,FB4,CA
55463,FB3,CA
55463,FB2,CA
55463,FB1,CA
55463,CT04,CT
55463,CT03,CT
55463,CT02,CT
55463,CT01,CT
55457,CT2,CT
55457,CT1,CT
55457,1,CA
55455,HRSG2B,CA
55455,HRSG2A,CA
55455,HRSG1B,CA
55455,HRSG1A,CA
55455,CT2B,CT
55455,CT2A,CT
55455,CT1B,CT
55455,CT1A,CT
55451,FB3,CA
55451,FB2,CA
55451,FB1,CA
55451,CTG3,CT
55451,CTG2,CT
55451,CTG1,CT
55440,HRSG3,CA
55440,HRSG2,CA
55440,HRSG1,CA
55440,CTG3,CT
55440,CTG2,CT
55440,CTG1,CT
55439,HRSG3,CA
55439,HRSG2,CA
55439,HRSG1,CA
55439,CTG3,CT
55439,CTG2,CT
55439,CTG1,CT
55429,BFB,ST
55429,4REC,ST
55429,3REC,ST
55419,HRU800,CA
55419,HRU700,CA
55419,HRU600,CA
55419,HRU500,CA
55419,G800,CT
55419,G700,CT
55419,G600,CT
55419,G500,CT
55418,CT2,CT
55418,CT1,CT
55418,1H2100,CA
55418,1H1100,CA
55412,OEC2,CT
55412,OEC1,CT
55412,HRSG2,CA
55412,HRSG1,CA
55411,HRSG2,CA
55411,HRSG1,CA
55411,HEC2,CT
55411,HEC1,CT
55406,UNT2,CT
55406,UNT1,CT
55406,HRSG2,CA
55406,HRSG1,CA
55406,AUX,CA
55405,HRSG03,CA
55405,HRSG02,CA
55405,HRSG01,CA
55405,CT3,CT
55405,CT2,CT
55405,CT1,CT
55404,HRSG2,CA
55404,HRSG1,CA
55404,CTG2,CT
55404,CTG1,CT
55400,HRSG2,CA
55400,HRSG1,CA
55400,CTG2,CT
55400,CTG1,CT
55397,DB2,CA
55397,DB1,CA
55397,CT2,CT
55397,CT1,CT
55393,HSRG 2,CA
55393,HRSG 1,CA
55393,CTG2,CT
55393,CTG1,CT
55386,DB2,CA
55386,DB1,CA
55386,CT2,CT
55386,CT1,CT
55382,2H2100,CA
55382,2H1100,CA
55382,2GT2,CT
55382,2GT1,CT
55382,1H2100,CA
55382,1H1100,CA
55382,1GT2,CT
55382,1GT1,CT
55380,CTG8,CT
55380,CTG7,CT
55380,CTG6,CT
55380,CTG5,CT
55380,CTG4,CT
55380,CTG3,CT
55380,CTG2,CT
55380,CTG1,CT
55380,4 B,CA
55380,4 A,CA
55380,3 B,CA
55380,3 A,CA
55380,2 B,CA
55380,2 A,CA
55380,1 B,CA
55380,1 A,CA
55375,HRSG2,CA
55375,HRSG1,CA
55375,CT2,CT
55375,CT1,CT
55372,HRSG3,CA
55372,HRSG2,CA
55372,HRSG1,CA
55372,CTG3,CT
55372,CTG2,CT
55372,CTG1,CT
55369,HRSG2,CA
55369,HRSG1,CA
55369,CT2,CT
55369,CT1,CT
55364,CT02,CT
55364,CT01,CT
55364,1B,CA
55364,1A,CA
55360,1,
55358,FB4,CA
55358,FB3,CA
55358,FB2,CA
55358,FB1,CA
55358,CT4,CT
55358,CT3,CT
55358,CT2,CT
55358,CT1,CT
55357,HRSG2,CA
55357,HRSG1,CA
55357,CTG2,CT
55357,CTG1,CT
55350,2,
55350,1,
55345,HRSG 2,CA
55345,HRSG 1,CA
55345,1-02,CT
55345,1-01,CT
55343,CTG2,CT
55343,CTG1,CT
55343,2,CA
55343,1,CA
55340,HRSG2,CA
55340,HRSG1,CA
55340,CTG2,CT
55340,CTG1,CT
55337,HRSG12,CA
55337,HRSG11,CA
55337,CT2,CT
55337,CT1,CT
55334,HRSG 2,CA
55334,HRSG 1,CA
55334,CTG2,CT
55334,CTG1,CT
55333,HRSG3,CA
55333,HRSG2,CA
55333,HRSG1,CA
55333,CTG3,CT
55333,CTG2,CT
55333,CTG1,CT
55328,HRSG 2,CA
55328,HRSG 1,CA
55328,CTG2,CT
55328,CTG1,CT
55327,HRSG3,CA
55327,HRSG2,CA
55327,HRSG1,CA
55327,CTG3,CT
55327,CTG2,CT
55327,CTG1,CT
55322,HRSG4,CA
55322,HRSG3,CA
55322,HRSG2,CA
55322,HRSG1,CA
55322,CTG4,CT
55322,CTG3,CT
55322,CTG2,CT
55322,CTG1,CT
55320,HRSG2,CA
55320,HRSG1,CA
55320,GT2,CT
55320,GT1,CT
55318,3,
55318,2,
55318,1,
55317,GT12,CT
55317,GT11,CT
55317,12,CA
55317,11,CA
55313,CTG2,CT
55313,CTG1,CT
55313,20F201,CA
55313,20F101,CA
55311,HRSG,ST
55309,HRSG,ST
55306,CTG8,CT
55306,CTG7,CT
55306,4 B,CA
55306,4 A,CA
55299,HRSG3,CA
55299,HRSG2,CA
55299,HRSG1,CA
55299,CTG3,CT
55299,CTG2,CT
55299,CTG1,CT
55298,HRSG2B,CA
55298,HRSG2A,CA
55298,HRSG1B,CA
55298,HRSG1A,CA
55298,CT2B,CT
55298,CT2A,CT
55298,CT1B,CT
55298,CT1A,CT
55297,HRSG3,CA
55297,HRSG2,CA
55297,HRSG1,CA
55297,3,CT
55297,2,CT
55297,1,CT
55295,HRSG2,CA
55295,HRSG1,CA
55295,CT2,CT
55295,CT1,CT
55294,HRSG2,CA
55294,HRSG1,CA
